id,tag,name,parent_id,stem,extension,path,size,owner,group,created,accessed,modified
9772529,Directory,audiodata,9772520,audiodata,,/Users/starver/code/public/cpython/Lib/test/audiodata,544,501,20,1545241636,1545524452,1545241636
9773226,Directory,test_importlib,9772520,test_importlib,,/Users/starver/code/public/cpython/Lib/test/test_importlib,928,501,20,1545241637,1545524452,1545241637
9773259,Directory,extension,9773226,extension,,/Users/starver/code/public/cpython/Lib/test/test_importlib/extension,256,501,20,1545241637,1545524452,1545241637
9773338,Directory,zipdata01,9773226,zipdata01,,/Users/starver/code/public/cpython/Lib/test/test_importlib/zipdata01,128,501,20,1545241637,1545524452,1545241637
9773317,Directory,source,9773226,source,,/Users/starver/code/public/cpython/Lib/test/test_importlib/source,288,501,20,1545241637,1545524452,1545241637
9773243,Directory,data02,9773226,data02,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data02,160,501,20,1545241637,1545524452,1545241637
9773245,Directory,one,9773243,one,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data02/one,128,501,20,1545241637,1545524452,1545241637
9773248,Directory,two,9773243,two,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data02/two,128,501,20,1545241637,1545524452,1545241637
9773251,Directory,data03,9773226,data03,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data03,128,501,20,1545241637,1545524452,1545241637
9773253,Directory,namespace,9773251,namespace,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data03/namespace,160,501,20,1545241637,1545524452,1545241637
9773256,Directory,portion2,9773253,portion2,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data03/namespace/portion2,96,501,20,1545241637,1545524452,1545241637
9773254,Directory,portion1,9773253,portion1,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data03/namespace/portion1,96,501,20,1545241637,1545524452,1545241637
9773271,Directory,import_,9773226,import_,,/Users/starver/code/public/cpython/Lib/test/test_importlib/import_,416,501,20,1545241637,1545524452,1545241637
9773283,Directory,namespace_pkgs,9773226,namespace_pkgs,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs,416,501,20,1545241637,1545524452,1545241637
9773304,Directory,project1,9773283,project1,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project1,96,501,20,1545241637,1545524452,1545241637
9773305,Directory,parent,9773304,parent,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project1/parent,96,501,20,1545241637,1545524452,1545241637
9773306,Directory,child,9773305,child,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project1/parent/child,96,501,20,1545241637,1545524452,1545241637
9773301,Directory,portion2,9773283,portion2,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/portion2,96,501,20,1545241637,1545524452,1545241637
9773302,Directory,foo,9773301,foo,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/portion2/foo,96,501,20,1545241637,1545524452,1545241637
9773294,Directory,not_a_namespace_pkg,9773283,not_a_namespace_pkg,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/not_a_namespace_pkg,96,501,20,1545241637,1545524452,1545241637
9773295,Directory,foo,9773294,foo,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/not_a_namespace_pkg/foo,128,501,20,1545241637,1545524452,1545241637
9773312,Directory,project3,9773283,project3,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project3,96,501,20,1545241637,1545524452,1545241637
